City,State_Standard,AHC_Cluster
Ahmedabad,GUJARAT,0
Bengaluru,KARNATAKA,0
Bhiwadi,RAJASTHAN,0
Bhopal,MADHYA PRADESH,0
Bhubaneswar,ODISHA,0
Bidhan Nagar (Excluding Rajarhat),WEST BENGAL,0
Chakan,MAHARASHTRA,0
Chandigarh (Tricity),CHANDIGARH,0
Chennai,TAMIL NADU,0
Coimbatore,TAMIL NADU,0
Dehradun,UTTARAKHAND,0
Delhi,DELHI,0
Faridabad,HARYANA,0
Gandhinagar,GUJARAT,0
Ghaziabad,UTTAR PRADESH,0
Greater Noida,UTTAR PRADESH,1
Gurugaon,HARYANA,0
Guwahati,ASSAM,0
Howrah,WEST BENGAL,0
Hyderabad,TELANGANA,0
Indore,MADHYA PRADESH,0
Jaipur,RAJASTHAN,2
Kalyan Dombivali,MAHARASHTRA,0
Kanpur,UTTAR PRADESH,0
Kochi,KERALA,0
Kolkata,WEST BENGAL,0
Lucknow,UTTAR PRADESH,0
Ludhiana,PUNJAB,0
Meerut,UTTAR PRADESH,0
Mira Bhayander,MAHARASHTRA,0
Mumbai,MAHARASHTRA,0
Nagpur,MAHARASHTRA,0
Nashik,MAHARASHTRA,0
Navi Mumbai,MAHARASHTRA,0
New Town Kolkata,WEST BENGAL,0
Noida,UTTAR PRADESH,1
Panvel,MAHARASHTRA,0
Patna,BIHAR,0
Pimpri Chinchwad,MAHARASHTRA,0
Pune,MAHARASHTRA,0
Raipur,CHHATTISGARH,0
Rajkot,GUJARAT,0
Ranchi,JHARKHAND,0
Surat,GUJARAT,0
Thane,MAHARASHTRA,0
Thiruvananthapuram,KERALA,0
Vadodara,GUJARAT,0
Vasai Virar,MAHARASHTRA,0
Vijayawada,ANDHRA PRADESH,0
Vizag,ANDHRA PRADESH,0
