City,State_Standard,Latest HPI,yoy_change,CPI_Housing_Index,P_LIT,TOT_WORK_P,Literacy_rate,Worker Participation Rate,SC/ST Population Percentage,Households per Capita,Per_Capita_Income_Latest_Current,Price_to_Income_Ratio,Affordability_Change_Pressure,Cluster
Ahmedabad,GUJARAT,142.89,9.56,161.2,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,251340.0,72.23571717749041,14.941324,0
Bengaluru,KARNATAKA,142.89,9.56,204.7,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,332926.0,72.23571717749041,14.941324,0
Bhiwadi,RAJASTHAN,121.33,6.31,193.8,70120.0,40514.0,66.83123493,38.6138142,11.46386329,23.30229411,167964.0,72.23571717749041,7.655922999999999,0
Bhopal,MADHYA PRADESH,142.89,9.56,197.1,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,142565.0,72.23571717749041,14.941324,0
Bhubaneswar,ODISHA,142.89,9.56,174.1,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,163101.0,72.23571717749041,14.941324,0
Bidhan Nagar (Excluding Rajarhat),WEST BENGAL,142.89,9.56,181.9,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,154119.0,72.23571717749041,14.941324,0
Chakan,MAHARASHTRA,142.89,9.56,185.4,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,277603.0,72.23571717749041,14.941324,0
Chandigarh (Tricity),CHANDIGARH,142.89,9.56,170.5,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,251340.0,72.23571717749041,14.941324,0
Chennai,TAMIL NADU,142.89,9.56,199.2,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,315220.0,72.23571717749041,14.941324,0
Coimbatore,TAMIL NADU,142.89,9.56,199.2,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,315220.0,72.23571717749041,14.941324,0
Dehradun,UTTARAKHAND,142.89,9.56,206.6,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,260201.0,72.23571717749041,14.941324,0
Delhi,DELHI,142.89,9.56,172.8,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,461910.0,72.23571717749041,14.941324,0
Faridabad,HARYANA,142.39,11.53,182.0,1028092.0,465259.0,72.70549132,32.90258477,10.57070118,20.55620381,325759.0,43.71022749947046,16.417567,0
Gandhinagar,GUJARAT,142.89,9.56,161.2,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,251340.0,72.23571717749041,14.941324,0
Ghaziabad,UTTAR PRADESH,142.89,9.56,204.0,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,93514.0,72.23571717749041,14.941324,0
Greater Noida,UTTAR PRADESH,209.71,39.26,204.0,75431.0,37381.0,73.91283046,36.62864758,11.62913752,20.36078939,93514.0,224.2551917359968,82.33214600000001,1
Gurugaon,HARYANA,142.89,9.56,182.0,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,325759.0,72.23571717749041,14.941324,0
Guwahati,ASSAM,142.89,9.56,186.3,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,135787.0,72.23571717749041,14.941324,0
Howrah,WEST BENGAL,142.89,9.56,181.9,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,154119.0,72.23571717749041,14.941324,0
Hyderabad,TELANGANA,142.89,9.56,199.2,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,356564.0,72.23571717749041,14.941324,0
Indore,MADHYA PRADESH,142.89,9.56,197.1,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,142565.0,72.23571717749041,14.941324,0
Jaipur,RAJASTHAN,142.89,8.69,193.8,2215535.0,985494.0,72.73199103,32.35197854,16.66171508,19.68072621,167964.0,85.07180110023576,12.417140999999996,2
Kalyan Dombivali,MAHARASHTRA,142.89,9.56,185.4,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,277603.0,72.23571717749041,14.941324,0
Kanpur,UTTAR PRADESH,142.89,9.56,204.0,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,93514.0,72.23571717749041,14.941324,0
Kochi,KERALA,142.89,9.56,193.5,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,281001.0,72.23571717749041,14.941324,0
Kolkata,WEST BENGAL,142.89,9.56,181.9,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,154119.0,72.23571717749041,14.941324,0
Lucknow,UTTAR PRADESH,142.89,9.56,204.0,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,93514.0,72.23571717749041,14.941324,0
Ludhiana,PUNJAB,116.12,4.24,164.2,1230545.0,591700.0,76.01216644,36.54998304,14.31570859,21.26984166,196505.0,59.09264395308008,4.923488,0
Meerut,UTTAR PRADESH,142.89,9.56,204.0,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,93514.0,72.23571717749041,14.941324,0
Mira Bhayander,MAHARASHTRA,142.89,9.56,185.4,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,277603.0,72.23571717749041,14.941324,0
Mumbai,MAHARASHTRA,142.89,9.56,185.4,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,277603.0,72.23571717749041,14.941324,0
Nagpur,MAHARASHTRA,142.89,9.56,185.4,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,277603.0,72.23571717749041,14.941324,0
Nashik,MAHARASHTRA,142.89,9.56,185.4,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,277603.0,72.23571717749041,14.941324,0
Navi Mumbai,MAHARASHTRA,142.89,9.56,185.4,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,277603.0,72.23571717749041,14.941324,0
New Town Kolkata,WEST BENGAL,142.89,9.56,181.9,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,154119.0,72.23571717749041,14.941324,0
Noida,UTTAR PRADESH,177.09,32.23,204.0,477272.0,245508.0,74.89298133,38.52483712,6.960920925,24.08296614,93514.0,189.37271424599527,57.07610699999999,1
Panvel,MAHARASHTRA,156.29,9.56,185.4,151693.0,67994.0,84.26452616,37.77024775,10.4238418,23.9456727,277603.0,56.29982384916589,14.941324,0
Patna,BIHAR,142.89,9.56,202.0,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,60337.0,72.23571717749041,14.941324,0
Pimpri Chinchwad,MAHARASHTRA,142.89,9.56,185.4,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,277603.0,72.23571717749041,14.941324,0
Pune,MAHARASHTRA,142.89,9.56,185.4,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,277603.0,72.23571717749041,14.941324,0
Raipur,CHHATTISGARH,142.89,9.56,164.4,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,147361.0,72.23571717749041,14.941324,0
Rajkot,GUJARAT,142.89,9.56,161.2,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,251340.0,72.23571717749041,14.941324,0
Ranchi,JHARKHAND,142.89,9.56,176.9,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,105274.0,72.23571717749041,14.941324,0
Surat,GUJARAT,142.89,9.56,161.2,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,251340.0,72.23571717749041,14.941324,0
Thane,MAHARASHTRA,142.89,9.56,185.4,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,277603.0,72.23571717749041,14.941324,0
Thiruvananthapuram,KERALA,142.89,9.56,193.5,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,281001.0,72.23571717749041,14.941324,0
Vadodara,GUJARAT,142.89,9.56,161.2,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,251340.0,72.23571717749041,14.941324,0
Vasai Virar,MAHARASHTRA,142.89,9.56,185.4,477272.0,245508.0,73.91283046,36.62864758,11.46386329,21.26984166,277603.0,72.23571717749041,14.941324,0
