ST Code,UA Code,UA Name,Level,No_HH,TOT_P,P_SC,P_ST,P_LIT,TOT_WORK_P,Literacy_rate,Worker Participation Rate,SC/ST Population Percentage,Households per Capita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,900000000,Ludhiana (M Corp.),0,344333,1618879,231754,0,1230545,591700,76.01216644,36.54998304,14.31570859,21.26984166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,500100000,Chandigarh UA,0,27197901,130123565,13281464,1713062,101371798,44731454,77.90425816,34.37613625,11.52329787,20.90159534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,500200000,Dehradun UA,0,17845269,89172413,9373024,812443,68983961,29054398,77.36020444,32.58227183,11.42221754,20.01209612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06,501100000,Gurgaon UA,0,18132645,90636584,9627794,874153,70046710,29604341,77.28304279,32.66268398,11.58687424,20.00587864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06,900000000,Faridabad (M Corp.),0,290675,1414050,149475,0,1028092,465259,72.70549132,32.90258477,10.57070118,20.55620381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,500100000,Delhi UA,0,26321712,126130677,12783908,1707336,98347590,43315273,77.97277581,34.34158448,11.48907177,20.86860439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08,501300000,Nagaur UA,0,14277867,71970591,6673912,874153,55903894,23345789,77.67602464,32.4379565,10.4877074,19.83847402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09,501100000,Meerut UA,0,14258627,71859794,6659155,873959,55836048,23311639,77.70137499,32.44044785,10.48307208,19.84228761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09,501300000,Ghaziabad UA,0,14005212,70438892,6425837,870843,54893008,22859381,77.92997085,32.45278333,10.35887958,19.88278294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09,900000000,Greater Noida (CT),0,20779,102054,11838,30,75431,37381,73.91283046,36.62864758,11.62913752,20.36078939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
